Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 314   J = 0.65137   Acc_train = 61.1736 %
Iter 315   J = 0.65124   Acc_train = 61.1813 %
Iter 316   J = 0.65111   Acc_train = 61.2105 %
Iter 317   J = 0.65097   Acc_train = 61.2376 %
Iter 318   J = 0.65084   Acc_train = 61.2571 %
Iter 319   J = 0.65071   Acc_train = 61.3095 %
Iter 320   J = 0.65058   Acc_train = 61.3386 %
Iter 321   J = 0.65045   Acc_train = 61.358 %
Iter 322   J = 0.65032   Acc_train = 61.3522 %
Iter 323   J = 0.65018   Acc_train = 61.3716 %
Iter 324   J = 0.65005   Acc_train = 61.3988 %
Iter 325   J = 0.64992   Acc_train = 61.4124 %
Iter 326   J = 0.64979   Acc_train = 61.4357 %
Iter 327   J = 0.64966   Acc_train = 61.4609 %
Iter 328   J = 0.64953   Acc_train = 61.492 %
Iter 329   J = 0.6494   Acc_train = 61.5056 %
Iter 330   J = 0.64927   Acc_train = 61.527 %
Iter 331   J = 0.64913   Acc_train = 61.5541 %
Iter 332   J = 0.649   Acc_train = 61.5697 %
Iter 333   J = 0.64887   Acc_train = 61.5833 %
Iter 334   J = 0.64874   Acc_train = 61.6182 %
Iter 335   J = 0.64861   Acc_train = 61.6454 %
Iter 336   J = 0.64848   Acc_train = 61.6881 %
Iter 337   J = 0.64835   Acc_train = 61.7075 %
Iter 338   J = 0.64822   Acc_train = 61.727 %
Iter 339   J = 0.64809   Acc_train = 61.7464 %
Iter 340   J = 0.64796   Acc_train = 61.7503 %
Iter 341   J = 0.64783   Acc_train = 61.7677 %
Iter 342   J = 0.6477   Acc_train = 61.8007 %
Iter 343   J = 0.64757   Acc_train = 61.8105 %
Iter 344   J = 0.64744   Acc_train = 61.8279 %
Iter 345   J = 0.64731   Acc_train = 61.8454 %
Iter 346   J = 0.64718   Acc_train = 61.8706 %
Iter 347   J = 0.64705   Acc_train = 61.8978 %
